# Group , DSID , name , tags (tags are not really used for anything in this context)
# Zjets
zjets     , 363385 , Sherpa_NNPDF30NNLO_Zmumu_Pt2000_E_CMS_CVetoBVeto             , e4716_s2726_r7725_r7676_p2613
zjets     , 363386 , Sherpa_NNPDF30NNLO_Zmumu_Pt2000_E_CMS_CFilterBVeto           , e4716_s2726_r7725_r7676_p2613
zjets     , 363387 , Sherpa_NNPDF30NNLO_Zmumu_Pt2000_E_CMS_BFilter                , e4716_s2726_r7725_r7676_p2613
zjets     , 363388 , Sherpa_NNPDF30NNLO_Zee_Pt0_70_CVetoBVeto                     , e4716_s2726_r7725_r7676_p2613
zjets     , 363389 , Sherpa_NNPDF30NNLO_Zee_Pt0_70_CFilterBVeto                   , e4716_s2726_r7725_r7676_p2613
zjets     , 363390 , Sherpa_NNPDF30NNLO_Zee_Pt0_70_BFilter                        , e4716_s2726_r7725_r7676_p2613
zjets     , 363391 , Sherpa_NNPDF30NNLO_Zee_Pt70_140_CVetoBVeto                   , e4716_s2726_r7725_r7676_p2613
zjets     , 363392 , Sherpa_NNPDF30NNLO_Zee_Pt70_140_CFilterBVeto                 , e4772_s2726_r7725_r7676_p2613
zjets     , 363393 , Sherpa_NNPDF30NNLO_Zee_Pt70_140_BFilter                      , e4716_s2726_r7725_r7676_p2613
zjets     , 363394 , Sherpa_NNPDF30NNLO_Zee_Pt140_280_CVetoBVeto                  , e4716_s2726_r7725_r7676_p2613
zjets     , 363395 , Sherpa_NNPDF30NNLO_Zee_Pt140_280_CFilterBVeto                , e4716_s2726_r7725_r7676_p2613
zjets     , 363396 , Sherpa_NNPDF30NNLO_Zee_Pt140_280_BFilter                     , e4772_s2726_r7725_r7676_p2613
zjets     , 363397 , Sherpa_NNPDF30NNLO_Zee_Pt280_500_CVetoBVeto                  , e4716_s2726_r7725_r7676_p2613
zjets     , 363398 , Sherpa_NNPDF30NNLO_Zee_Pt280_500_CFilterBVeto                , e4716_s2726_r7725_r7676_p2613
zjets     , 363399 , Sherpa_NNPDF30NNLO_Zee_Pt280_500_BFilter                     , e4772_s2726_r7725_r7676_p2613
zjets     , 363400 , Sherpa_NNPDF30NNLO_Zee_Pt500_700_CVetoBVeto                  , e4716_s2726_r7725_r7676_p2613
zjets     , 363401 , Sherpa_NNPDF30NNLO_Zee_Pt500_700_CFilterBVeto                , e4716_s2726_r7725_r7676_p2613
zjets     , 363402 , Sherpa_NNPDF30NNLO_Zee_Pt500_700_BFilter                     , e4716_s2726_r7725_r7676_p2613
zjets     , 363403 , Sherpa_NNPDF30NNLO_Zee_Pt700_1000_CVetoBVeto                 , e4716_s2726_r7725_r7676_p2613
zjets     , 363404 , Sherpa_NNPDF30NNLO_Zee_Pt700_1000_CFilterBVeto               , e4716_s2726_r7725_r7676_p2613
zjets     , 363405 , Sherpa_NNPDF30NNLO_Zee_Pt700_1000_BFilter                    , e4716_s2726_r7725_r7676_p2613
zjets     , 363406 , Sherpa_NNPDF30NNLO_Zee_Pt1000_2000_CVetoBVeto                , e4716_s2726_r7725_r7676_p2613
zjets     , 363407 , Sherpa_NNPDF30NNLO_Zee_Pt1000_2000_CFilterBVeto              , e4716_s2726_r7725_r7676_p2613
zjets     , 363408 , Sherpa_NNPDF30NNLO_Zee_Pt1000_2000_BFilter                   , e4772_s2726_r7725_r7676_p2613
zjets     , 363409 , Sherpa_NNPDF30NNLO_Zee_Pt2000_E_CMS_CVetoBVeto               , e4716_s2726_r7725_r7676_p2613
zjets     , 363410 , Sherpa_NNPDF30NNLO_Zee_Pt2000_E_CMS_CFilterBVeto             , e4716_s2726_r7725_r7676_p2613
zjets     , 363411 , Sherpa_NNPDF30NNLO_Zee_Pt2000_E_CMS_BFilter                  , e4772_s2726_r7725_r7676_p2613
zjets     , 361468 , Sherpa_CT10_Zee_Mll10to40_Pt0_70_BVeto                       , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361469 , Sherpa_CT10_Zee_Mll10to40_Pt0_70_BFilter                     , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361470 , Sherpa_CT10_Zee_Mll10to40_Pt70_140_BVeto                     , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361471 , Sherpa_CT10_Zee_Mll10to40_Pt70_140_BFilter                   , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361472 , Sherpa_CT10_Zee_Mll10to40_Pt140_400_BVeto                    , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361473 , Sherpa_CT10_Zee_Mll10to40_Pt140_400_BFilter                  , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361474 , Sherpa_CT10_Zee_Mll10to40_Pt400_E_CMS_BVeto                  , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361475 , Sherpa_CT10_Zee_Mll10to40_Pt400_E_CMS_BFilter                , p2666_n0225
zjets     , 361476 , Sherpa_CT10_Zmumu_Mll10to40_Pt0_70_BVeto                     , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361477 , Sherpa_CT10_Zmumu_Mll10to40_Pt0_70_BFilter                   , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361478 , Sherpa_CT10_Zmumu_Mll10to40_Pt70_140_BVeto                   , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361479 , Sherpa_CT10_Zmumu_Mll10to40_Pt70_140_BFilter                 , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361480 , Sherpa_CT10_Zmumu_Mll10to40_Pt140_400_BVeto                  , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361481 , Sherpa_CT10_Zmumu_Mll10to40_Pt140_400_BFilter                , p2666_n0225
zjets     , 361482 , Sherpa_CT10_Zmumu_Mll10to40_Pt400_E_CMS_BVeto                , p2666_n0225
zjets     , 361483 , Sherpa_CT10_Zmumu_Mll10to40_Pt400_E_CMS_BFilter              , p2666_n0225
zjets     , 361484 , Sherpa_CT10_Ztautau_Mll10to40_Pt0_70_BVeto                   , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361485 , Sherpa_CT10_Ztautau_Mll10to40_Pt0_70_BFilter                 , e4198_s2608_s2183_r7772_r7676_p2666
zjets     , 361486 , Sherpa_CT10_Ztautau_Mll10to40_Pt70_140_BVeto                 , e4198_s2608_s2183_r7772_r7676_p2666
