# Group , DSID , name , tags (tags are not really used for anything in this context)
# Zjets
ttv       , 410111 , MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np0                  , e4632_s2726_r7725_r7676_p2613
ttv       , 410112 , MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np1                  , e4632_s2726_r7725_r7676_p2613
ttv       , 410113 , MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np0                , e4632_s2726_r7725_r7676_p2613
ttv       , 410114 , MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np1                , e4632_s2726_r7725_r7676_p2613
ttv       , 410115 , MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np0              , e4632_s2726_r7725_r7676_p2613
ttv       , 410116 , MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np1              , e4632_s2726_r7725_r7676_p2613
ttv       , 410116 , MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np1              , e4265_s2608_s2183_r7725_r7676_p2613
ttv       , 410050 , MadGraphPythiaEvtGen_P2012_tZ_4fl_tchan_noAllHad             , e4279_a766_a818_r7676_p2613
# Signal
c1c1_slepslep , 392500 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_150p0_50p0_2L8       , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392501 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_200p0_100p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392502 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_200p0_150p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392504 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_300p0_100p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392505 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_300p0_200p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392506 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_300p0_250p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392508 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_400p0_200p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392509 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_400p0_300p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392510 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_500p0_1p0_2L8        , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392511 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_500p0_100p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392512 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_500p0_200p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392514 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_600p0_1p0_2L8        , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392515 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_600p0_100p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392516 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_600p0_200p0_2L8      , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392518 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_700p0_1p0_2L8        , e4319_a766_a821_r7676_p2613
c1c1_slepslep , 392519 , MGPy8EG_A14N23LO_C1C1_SlepSnu_x0p50_700p0_100p0_2L8      , e4319_a766_a821_r7676_p2613
